核心指標,全問卷比對特徵,相關強度 (Cramer's V),原始 p-value
PhysicalFightingAtSchool,BMIPCT,0.7129356088759368,0.003479324360305294
PhysicalFightingAtSchool,PhysicalFighting,0.4390758543735412,0.0
PhysicalFightingAtSchool,InjuredIFight,0.19958689999360507,1.3017409473264e-102
PhysicalFightingAtSchool,WeaponCarrying,0.15802490809204042,1.4868061344689107e-63
PhysicalFightingAtSchool,FirstSexualIntercourse,0.149360698330173,3.0739688616419883e-52
PhysicalFightingAtSchool,MultipleSexPartners,0.14328736699225347,1.4424757970272555e-48
PhysicalFightingAtSchool,WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,0.14280935215777765,7.392980599137066e-50
PhysicalFightingAtSchool,CurrentSexualActivity,0.14247252657209422,3.073060936809379e-47
PhysicalFightingAtSchool,HowMuchDoYouWeighWithoutShoesInKG,0.14162339943421373,0.44335130167741815
PhysicalFightingAtSchool,InitiationOfMarijuaUse,0.13162254868436885,2.65401426555177e-42
PhysicalFightingAtSchool,AlcoholDrugsAndSex,0.12848784653338888,2.5789554252811545e-42
PhysicalFightingAtSchool,BirthControlPillUse,0.1282538597408436,3.0560915896334826e-37
PhysicalFightingAtSchool,StolenOrDamagedYourProperty,0.12378963065124027,9.399742021738748e-37
PhysicalFightingAtSchool,CondomUse,0.1232715113838719,1.51941619360271e-38
PhysicalFightingAtSchool,EverSexualIntercourse,0.12290367801084805,4.043514063049799e-40
PhysicalFightingAtSchool,EverMarijuaUse,0.1201203370310324,9.401265241737813e-35
PhysicalFightingAtSchool,InitiationSmokingWholeCigarette,0.11771760839326634,7.80111208077739e-33
PhysicalFightingAtSchool,SeatBeltUse,0.11519821847946535,7.477475658098071e-34
PhysicalFightingAtSchool,CurrentMarijuaUse,0.11046854340293233,6.1623769105246086e-30
PhysicalFightingAtSchool,CurrentCigarUse,0.10877783243249337,2.634742274569208e-28
PhysicalFightingAtSchool,InitiationOfAlcoholUse,0.10843949265737537,4.148203091993606e-28
PhysicalFightingAtSchool,EverSmokingCessation,0.10668961639493509,8.611681172712651e-30
PhysicalFightingAtSchool,EverAlcoholUse,0.10400291281676496,3.737009990409671e-25
PhysicalFightingAtSchool,EverCigaretteUse,0.10279479088484846,2.3209525778674844e-29
PhysicalFightingAtSchool,SourceOfAlcohol,0.10260648289492327,1.153550202104593e-22
PhysicalFightingAtSchool,IllegalDrugsAtSchool,0.10247289448553262,1.4292211901956365e-29
PhysicalFightingAtSchool,CurrentAlcoholUse,0.10049835212547686,4.027428093570465e-22
PhysicalFightingAtSchool,UsedMotorcycleHelmet,0.09912207909758287,5.246580139963099e-22
PhysicalFightingAtSchool,GunCarryingPast12Mos,0.09807172785927692,7.780769468289165e-24
PhysicalFightingAtSchool,HowObtainedCigarettes,0.09785543601148503,3.83913592183498e-21
PhysicalFightingAtSchool,SmokedMoreThan10Cigarettes,0.08975136220989158,3.996959519657703e-18
PhysicalFightingAtSchool,SmokeOnSchoolProperty,0.08889085634520615,2.2609808380719423e-18
PhysicalFightingAtSchool,WhatIsYourRace,0.08883757357723074,6.208616001082877e-07
PhysicalFightingAtSchool,AttemptedSuicide,0.0878984724971954,1.2169127850836285e-17
PhysicalFightingAtSchool,CurrentSmokelessTobaccoUse,0.0863362619515364,3.4098693664177914e-17
PhysicalFightingAtSchool,InjuriousSuicide,0.08603258065657204,2.0226273049592584e-18
PhysicalFightingAtSchool,MarijuaOnSchoolProperty,0.08558081266885052,1.49198267528239e-17
PhysicalFightingAtSchool,CurrentCigaretteUse,0.08443451483216786,7.064494577054125e-16
PhysicalFightingAtSchool,RidingWithADrinkingDriver,0.08380908295376603,1.292932187339518e-17
PhysicalFightingAtSchool,NoSodaDrinking,0.08302266555818738,6.059271057992122e-16
PhysicalFightingAtSchool,IllegalInjectedDrugUse,0.08200078096555422,1.8113846089759584e-18
PhysicalFightingAtSchool,CurrentSmokelessTobaccoOnSchoolProperty,0.0798916325102754,1.597963582588594e-14
PhysicalFightingAtSchool,MadeASuicidePlan,0.07860140360369171,5.034670252477194e-18
PhysicalFightingAtSchool,BoyfriendGirlfriendPhysicallyHurt,0.07702069075781469,2.0213932795100043e-17
PhysicalFightingAtSchool,EverSmokedDailyFor30Days,0.07608769592134157,7.888214216535069e-17
PhysicalFightingAtSchool,BicyleHelmetUse,0.07604180318203345,1.757735223935006e-13
PhysicalFightingAtSchool,RaceEth,0.07543440723421667,3.449378032738563e-12
PhysicalFightingAtSchool,DrinkAlcoholOnSchoolProperty,0.07231772613092345,1.0463172434823221e-11
PhysicalFightingAtSchool,EverSteriodUse,0.07187470494518228,3.24594105846124e-12
PhysicalFightingAtSchool,EverInhalantUse,0.07178651797455105,3.5712721969842542e-12
PhysicalFightingAtSchool,InWhatGradeAreYou,0.070340288980643,2.933751001895331e-12
PhysicalFightingAtSchool,ForcedSexualIntercourse,0.06779082143687644,8.233308631853057e-14
PhysicalFightingAtSchool,CurrentBingeDrinking5OrMore,0.06757541185149327,5.556801684139413e-10
PhysicalFightingAtSchool,PotatoEating,0.06747473942559312,4.0170621235043477e-10
PhysicalFightingAtSchool,HIVTesting,0.06536555816341412,3.2872943974502906e-11
PhysicalFightingAtSchool,EverCocaineUse,0.06398612221614897,1.6687188915722652e-09
PhysicalFightingAtSchool,StillHaveAsthma,0.06275155255876061,2.729547211399175e-10
PhysicalFightingAtSchool,SunscreenUse,0.06189746092731721,9.243585640389137e-09
PhysicalFightingAtSchool,ConsideredSuicide,0.06145274227120568,1.2548315650336352e-11
PhysicalFightingAtSchool,SadOrHopeless,0.06117974881432665,1.5652290933787898e-11
PhysicalFightingAtSchool,DrinkingAndDriving,0.06021766677612898,8.307302403929348e-09
PhysicalFightingAtSchool,FastingToLoseWeight,0.05909125787799061,7.023618245580316e-11
PhysicalFightingAtSchool,InjuredWhileExercising,0.05875420128049867,3.4730699282651485e-09
PhysicalFightingAtSchool,GreenSaladEating,0.05861398067011945,2.0832448106228252e-07
PhysicalFightingAtSchool,EverMethamphetamineUse,0.05805229120549728,9.817976863689671e-08
PhysicalFightingAtSchool,HowTallAreYouWithoutShoesInMeters,0.057317335507417064,0.27383684388445195
PhysicalFightingAtSchool,PEAttendance,0.056397778638627244,3.102498855882476e-07
PhysicalFightingAtSchool,WhatIsYourSex,0.05629921162022339,5.323142099862553e-10
PhysicalFightingAtSchool,CocaineUsePast30Days,0.05573302172790241,4.4363028713901753e-07
PhysicalFightingAtSchool,WeightLoss,0.05366439817547462,1.181830455696833e-07
PhysicalFightingAtSchool,EverEcstasyUse,0.052955298613964356,2.3457470746675426e-06
PhysicalFightingAtSchool,EverUsedLSD,0.05228379504079003,9.313582598245577e-06
PhysicalFightingAtSchool,FruitJuiceDrinking,0.04994804584475467,3.4064258317839156e-05
PhysicalFightingAtSchool,EverHeroinUse,0.048746878029331184,2.4704789030737393e-05
PhysicalFightingAtSchool,HowOldAreYou,0.04824928644864078,8.506633418130335e-05
PhysicalFightingAtSchool,SportsTeamParticipation,0.04412087393977092,3.285190639989933e-05
PhysicalFightingAtSchool,Sleep,0.04398160144239575,0.0013074470666864216
PhysicalFightingAtSchool,MinutesInPEPlayingSports,0.041770460671776165,0.006259165975175317
PhysicalFightingAtSchool,OtherVegetableEating,0.04143323581699979,0.0019510223250385282
PhysicalFightingAtSchool,Asthma,0.04031596965286321,5.4104470094674914e-05
PhysicalFightingAtSchool,DietPillsToLoseWeight,0.039288141236757,1.4571472025540977e-05
PhysicalFightingAtSchool,AerobicExercise,0.03505243502037002,0.050885055124777395
PhysicalFightingAtSchool,TaughtAboutHIV,0.033345041028714835,0.0011928704633638132
PhysicalFightingAtSchool,TelevisionWatching,0.03333499060311206,0.03647847295898505
PhysicalFightingAtSchool,FruitEating,0.033019198480480905,0.039185423079437044
PhysicalFightingAtSchool,HealthInGeneral,0.03207166057661792,0.0205292807013981
PhysicalFightingAtSchool,PerceptionOfWeight,0.031830149399850044,0.015025136697982217
PhysicalFightingAtSchool,ComputerUse,0.030499664579045398,0.08083876199507162
PhysicalFightingAtSchool,NoMilkDrinking,0.03047468487779343,0.08483845653135137
PhysicalFightingAtSchool,PhysicalActivity5OrMoreDays,0.02516750521143127,0.36248266728661355
PhysicalFightingAtSchool,CarrotEating,0.023725167423223982,0.33609782391134846
PhysicalFightingAtSchool,LaxativesToLoseWeight,0.02359293899171079,0.00923435351000385
PhysicalFightingAtSchool,CDC_BMI_Group,0.023548130439236266,0.09730642055126738
PhysicalFightingAtSchool,NoerobicExercise,0.023225007680234173,0.5226300345510759
PhysicalFightingAtSchool,ConsumeFewerCaloriesToLoseWeight,0.016190541308626606,0.07402310629991882
PhysicalFightingAtSchool,AreYouHispanicOrLatino,0.012955128695079152,0.15535251126898827
PhysicalFightingAtSchool,ExerciseToLoseWeight,0.010207113132730417,0.260056851645549
PhysicalFightingAtSchool,SunProtection,0.008448858098738807,0.938075582602216
SafetyConcernsAtSchool,BMIPCT,0.7055955499980345,0.02528905741277853
SafetyConcernsAtSchool,HowMuchDoYouWeighWithoutShoesInKG,0.1762509734478135,1.0128142061228286e-07
