項目名稱 (Variable),"相關係數 (Correlation, rho)",顯著性 P值 (p-value),統計學顯著 (p < 0.05),有效交叉樣本數 (n)
PerceptionOfWeight,0.5920601806740301,0.0000e+00,是 (★),12853
WeightLoss,-0.3617476755923035,0.0000e+00,是 (★),12846
ConsumeFewerCaloriesToLoseWeight,-0.263658637392868,1.8787e-202,是 (★),12795
ExerciseToLoseWeight,-0.25955355077935666,7.9049e-196,是 (★),12781
HealthInGeneral,0.19590499689965551,9.6515e-99,是 (★),11369
TelevisionWatching,0.11418605227771958,1.2032e-38,是 (★),12882
SunscreenUse,-0.11352540756684236,7.1053e-34,是 (★),11350
WhatIsYourRace,-0.1095843868392309,3.7672e-31,是 (★),11155
DietPillsToLoseWeight,-0.10172157044955968,6.7795e-30,是 (★),12405
FastingToLoseWeight,-0.08943426323342443,2.6864e-23,是 (★),12315
PhysicalFighting,0.08564017230447503,2.9404e-22,是 (★),12791
EverCigaretteUse,-0.0841856612937165,2.1640e-21,是 (★),12683
AreYouHispanicOrLatino,-0.08027649833136487,5.8114e-20,是 (★),12946
WhatIsYourSex,0.07281082771862234,7.9657e-17,是 (★),13062
WeaponCarrying,0.07050856632048703,1.8045e-15,是 (★),12697
SeatBeltUse,-0.06332977811274887,5.5153e-13,是 (★),12945
Asthma,-0.059348048723946674,1.7688e-11,是 (★),12816
StillHaveAsthma,0.053691091525337194,2.6643e-09,是 (★),12270
MultipleSexPartners,0.05344270214617654,3.3972e-09,是 (★),12219
InitiationSmokingWholeCigarette,0.05184177077013393,5.7872e-09,是 (★),12601
SunProtection,0.05036502024968013,9.3281e-08,是 (★),11227
HowOldAreYou,-0.04989257679161369,1.1622e-08,是 (★),13062
LaxativesToLoseWeight,-0.04439587992422319,5.0808e-07,是 (★),12792
WeaponCarryingAtSchool,0.043209195106844546,9.9192e-07,是 (★),12815
InWhatGradeAreYou,-0.042929878059385765,9.3779e-07,是 (★),13041
CondomUse,0.042089276288167526,3.7171e-06,是 (★),12075
EverSteriodUse,0.04153924236755824,2.3596e-06,是 (★),12902
IllegalDrugsAtSchool,-0.04069556121498618,3.8108e-06,是 (★),12888
AttemptedSuicide,0.039530678708324656,1.9089e-05,是 (★),11690
HIVTesting,-0.03886048269783414,3.5672e-05,是 (★),11310
EverSexualIntercourse,-0.03884957049486296,1.6932e-05,是 (★),12255
NoerobicExercise,-0.03863427780770266,3.0768e-05,是 (★),11631
SafetyConcernsAtSchool,0.03856731755465616,1.1357e-05,是 (★),12947
SportsTeamParticipation,-0.038157505456790225,1.8642e-05,是 (★),12578
WereThreatenedOrInjuredWithAWeaponOnSchoolProperty,0.03790945410990551,1.5985e-05,是 (★),12947
InjuriousSuicide,0.0374464538111729,5.7094e-05,是 (★),11545
CurrentCigarUse,0.03717390546654525,3.0596e-05,是 (★),12571
EverMarijuaUse,0.037090860146768066,2.8611e-05,是 (★),12720
StolenOrDamagedYourProperty,0.03641230961731969,3.7377e-05,是 (★),12816
CurrentSexualActivity,0.036349039162802375,5.7855e-05,是 (★),12234
EverSmokingCessation,0.035367132509100466,8.1662e-05,是 (★),12402
InitiationOfMarijuaUse,0.035230129219058326,6.7844e-05,是 (★),12781
CurrentSmokelessTobaccoUse,0.03505759745847896,8.7099e-05,是 (★),12523
BirthControlPillUse,0.03465529074526933,1.4338e-04,是 (★),12033
GunCarryingPast12Mos,0.03395471305977629,1.5159e-04,是 (★),12444
InjuredIFight,0.03371679761305089,1.3958e-04,是 (★),12757
InjuredWhileExercising,-0.0324057983676151,5.5330e-04,是 (★),11354
PhysicalFightingAtSchool,0.032033320322431925,2.8611e-04,是 (★),12820
AlcoholDrugsAndSex,0.0317346395602245,4.5144e-04,是 (★),12216
HowObtainedCigarettes,0.031233467109790383,7.0339e-04,是 (★),11765
CarrotEating,-0.030053709035080225,7.8249e-04,是 (★),12488
SmokedMoreThan10Cigarettes,0.029754179837902503,9.4981e-04,是 (★),12335
Sleep,-0.029235452399759707,1.8448e-03,是 (★),11344
CurrentCigaretteUse,0.02906213806480633,1.1894e-03,是 (★),12437
ConsideredSuicide,-0.02843465206242161,1.2297e-03,是 (★),12916
BicyleHelmetUse,-0.028386588102255486,1.5033e-03,是 (★),12500
MinutesInPEPlayingSports,0.028243185384848248,2.5966e-03,是 (★),11370
PEAttendance,0.027447088032894366,1.9601e-03,是 (★),12723
CurrentSmokelessTobaccoOnSchoolProperty,0.025483409010593303,5.1401e-03,是 (★),12055
PhysicalActivity5OrMoreDays,-0.0254133971284813,3.9027e-03,是 (★),12894
DrinkAlcoholOnSchoolProperty,0.02525075430678332,4.3239e-03,是 (★),12769
EverUsedLSD,-0.024560006537931563,8.4844e-03,是 (★),11485
SadOrHopeless,-0.024285244771058815,5.8045e-03,是 (★),12902
RidingWithADrinkingDriver,0.023329886261083857,9.1258e-03,是 (★),12489
InitiationOfAlcoholUse,-0.022721071509847535,1.0080e-02,是 (★),12824
ComputerUse,0.022534541700454103,1.0551e-02,是 (★),12877
MadeASuicidePlan,-0.021981480579989787,1.2653e-02,是 (★),12866
CurrentMarijuaUse,0.02141464468797284,1.5594e-02,是 (★),12752
OtherVegetableEating,-0.020464395885343496,2.2191e-02,是 (★),12490
AerobicExercise,-0.01980681752327682,3.2538e-02,是 (★),11649
TaughtAboutHIV,0.019472432878634295,2.8909e-02,是 (★),12588
